id,comment_id,Comment
28,144,Good attitude and resilience. This is a good start
30,148,Good progress. I expect more from the student as we work together during this period.
105,389,Tasks well done. Good work
115,403,Good work by the student
161,569,Good work.
481,1424,She has good computational skills and is good at managing time.
488,1431,Good progress with on boarding.
896,1929,Good work
906,1943,Good progress Andrew. Keep up this spirit.
916,1954,Keep up the good work Trevor. Your team has registered good progress.
1015,2088,Good job. Keep it up
1072,2153,Good
1242,2374,very good performance
1244,2376,Very Good Performance
1314,2472,Good
1326,2485,Good progress Zaharah. Keep up the spirit.
1496,2700,Good progress Alex. Keep up the spirit
1697,2967,Keep up the good work.
1885,3255,Good progress
2022,3467,Good progress
2029,3474,Good progress.
2042,3497,Good work
2139,3632,Well done. Good start
2154,3651,Good take on this task.
2167,3668,Good progress.
2179,3705,Good progress on the tasks
2254,3814,Steady progress. Good job
2320,3936,Good
2598,4490,Good Work!
2624,4582,VERY GOOD
2636,4601,Very Good
2647,4615,very Good
2701,4682,Very good
2722,4705,Very Good
2754,4744,he is been good in every session
2773,4770,Very Good
2779,4777,Very Good
2814,4826,The session was good and we had a good interaction with the students.
2825,4843,Very Good
2838,4866,Very Good
2885,4960,Good UI
2968,5071,Very Good
2980,5085,Good progress. He will do better
3004,5118,Good student. Impressed by the progress.
3007,5121,Good student. Impressed by the progress.
3012,5126,"She created a good responsive app,good UI"
3063,5185,Good progress.
3066,5188,very good
3160,5324,Good Start
3161,5325,Good Progress
3175,5343,"The tasks were accomplished in time, which was good progress for the start"
3182,5357,Good Time Management and good attitude towards the assigned tasks.
3238,5451,very good
3267,5486,Good progress
3306,5534,Very Good
3385,5636,Very Good
3402,5662,Good progress
3417,5682,Good progress
3432,5704,Very Good
3433,5706,Very Good
3446,5720,Good progress
3452,5727,"Good work 
Keep it up"
3486,5779,Good progress
3516,5831,very good
3524,5845,he is a good student
3547,5873,Very Good
3548,5874,Good progress
3564,5897,Good progress
3570,5906,Good progress
3583,5920,Very Good
3596,5933,Good progress
3632,5984,Very Good UI
3636,5988,good with hosting
3642,5994,Good progress
3644,5996,Good progress
3647,5999,Good. Keep it up
3650,6002,Very good
3653,6006,Very Good
3660,6013,Very Good
3666,6020,Good progress
3734,6107,Good progress
3742,6119,Good progress
3788,6184,Good progress
3789,6185,good with hosting
3795,6191,Very Good
3796,6192,Good  UI
3818,6232,Good progress
3820,6239,Good work done
3822,6241,he is making good progress and with more time will produce a very good product
3840,6271,Very Good
3842,6275,Keep up the Good work
3857,6312,Very Good
3869,6344,Good progress
3880,6358,Good progress
3883,6362,Good progress.
3895,6374,Good progress
3899,6378,Good progress.
3906,6387,Good progress
3908,6390,Good progress
3914,6398,Very Good UI
3942,6434,Good progress
3948,6441,good
3951,6444,Good progress
3964,6459,Good progress
3979,6482,Good progress
3985,6490,Good progress
3992,6498,Good progress
4000,6511,Good progress
4044,6575,Good progress
4055,6596,Good progress
4074,6628,Good progress
4081,6639,Very good at what she is assigned.
4088,6647,Good progress
4106,6675,Good progress
4111,6684,good
4113,6686,Good progress
4118,6695,Very good
4126,6708,Very Good
4128,6710,Very good
4131,6713,good
4163,6749,very Good
4171,6761,good
4180,6775,Very Good
4181,6776,Very Good
4196,6817,Very Good
4258,6900,Good progress
4264,6907,Very Good UI
4281,6925,Good progress
4305,6962,very Good
4321,6982,Good progress with systems administration
4339,7002,Good
4344,7010,good progress made on the department web application
4352,7022,Very good
4362,7040,Good progress
4384,7071,Good progress with systems administration
4406,7115,Very Good
4427,7148,Good
4438,7170,Good work
4444,7185,Very Good
4479,7241,"Good work, keep up"
4530,7323,Very Good
4582,7412,good
4583,7413,good with databases
4584,7416,good
4595,7440,Good progress
4597,7442,Good progress
4634,7505,Good progress
4660,7547,Good work on the assigned frontend tasks and good job on that.
4691,7590,Good work.
4747,7688,Good progress with systems administration
4770,7753,Good
4781,7782,Good progress with systems administration
4810,7847,Very good and good understanding Computer problem Diagnostics
4836,7939,THEY ARE GOOD STUDENTS
4852,7983,Very good
4854,7985,Very good
4855,7986,Very good
4856,7987,Very good
4857,7988,Very good
4859,7994,Good job
4866,8013,Keep up the good work
4868,8017,Good progress
4872,8027,good
4902,8089,good
