id,district,dist_Cancelled,idug_Cnacelled,dist,id_canceled,reg_voters,amuriat,amur_pge,kabuleeta_kiiza_joseph,kab_pge,kalembe_nancy_linda,kalem_pge,katumba_john,katum_pge,kyagulanyi_robert_sentamu,kyagu_pge,mao_norbert,mao_pge,mayambala_willy,mayamb_pge,mugisha_muntu,mugis_pge,mwesigye_fred,mwesig_pge,tumukunde_henry,tumuk_pge,yoweri_museveni,yoweri_pge,valid_votes,invalid_votes,invalid_pge,total_votes,score_percent,percentage,increment
124,KAPELEBYONG,KAPELEBYONG,124,Mityana,68,39629,6121,23.75%,174,0.68%,141,0.55%,38,0.15%,1387,5.38%,68,0.26%,37,0.14%,77,0.30%,85,0.33%,119,0.46%,17529,68.01%,25776,1652,6.02%,27428,69,69.21%,-0.19
125,KASSANDA,KASSANDA,125,Kyotera,119,134798,183,0.22%,77,0.09%,78,0.09%,133,0.16%,44990,53.96%,142,0.17%,23,0.03%,178,0.21%,112,0.13%,193,0.23%,37265,44.70%,83374,3490,4.02%,86864,64,64.44%,0.56
126,KIKUUBE,KIKUUBE,126,Gomba,91,112825,360,0.56%,2210,3.46%,133,0.21%,124,0.19%,10771,16.87%,72,0.11%,22,0.03%,271,0.42%,115,0.18%,272,0.43%,49490,77.52%,63840,3246,4.84%,67086,59,59.46%,-0.19
127,KWANIA,KWANIA,127,Rakai,36,87587,992,1.87%,393,0.74%,319,0.60%,238,0.45%,13041,24.52%,318,0.60%,148,0.28%,368,0.69%,322,0.61%,679,1.28%,36364,68.38%,53182,2820,5.04%,56002,64,63.94%,-0.1
128,NABILATUK,NABILATUK,128,Bushenyi,4,21367,15,0.09%,3,0.02%,3,0.02%,3,0.02%,272,1.66%,7,0.04%,6,0.04%,2,0.01%,8,0.05%,38,0.23%,16038,97.82%,16395,536,3.17%,16931,79,79.24%,-0.36
129,KALAKI,KALAKI,129,Isingiro,62,53973,4794,13.93%,195,0.57%,193,0.56%,81,0.24%,3839,11.16%,136,0.40%,287,0.83%,121,0.35%,73,0.21%,140,0.41%,24556,71.35%,34415,1563,4.34%,35978,67,66.66%,0.17
130,KARENGA,KARENGA,130,Rwampara,135,18035,107,0.76%,75,0.53%,37,0.26%,32,0.23%,751,5.30%,49,0.35%,54,0.38%,30,0.21%,25,0.18%,178,1.26%,12819,90.55%,14157,673,4.54%,14830,82,82.23%,-0.2
131,KAZO,KAZO,131,Hoima,6,92843,157,0.21%,24,0.03%,20,0.03%,53,0.07%,879,1.18%,13,0.02%,2,0.00%,231,0.31%,20,0.03%,61,0.08%,73043,98.04%,74503,1078,1.43%,75581,81,81.41%,0.58
132,KITAGWENDA,KITAGWENDA,132,Kalaki,129,76037,459,0.98%,67,0.14%,178,0.38%,113,0.24%,4488,9.62%,54,0.12%,19,0.04%,617,1.32%,87,0.19%,171,0.37%,40417,86.60%,46670,1191,2.49%,47861,63,62.94%,-0.27
133,MADI,MADI,133,Obongi,134,63404,722,1.95%,384,1.04%,348,0.94%,273,0.74%,7611,20.52%,241,0.65%,116,0.31%,534,1.44%,178,0.48%,898,2.42%,25779,69.52%,37084,2414,6.11%,39498,62,62.30%,-0.09
