registered_voters,percentage,Deduction,District
3876,78.62,0,"Cluster 0,  Good"
181,3.67,-74.95,"Cluster 1,   Neutral"
165,3.35,-0.32,"Cluster 2,   Excellent"
534,10.83,7.48,"Cluster 3,   Poor"
174,3.53,-7.3,"Cluster 4,   Very Poor"
