district,,reg_voters,valid_votes,percentage_total,deduction,invalid_votes,,,,,,,,,,,,,,,,,,
NAKASEKE,,107133,71029,69,+3,2896,,,,,,,,,,,,,,,,,,
ABIM,,36539,23588,67,-2,875,,,,,,,,,,,,,,,,,,
AMURU,,87122,35018,44,-23,3103,,,,,,,,,,,,,,,,,,
BUDAKA,,100900,63330,63,+19,0,,,,,,,,,,,,,,,,,,
BULIISA,,44869,26630,63,0,1696,,,,,,,,,,,,,,,,,,
DOKOLO,,93712,58192,64,+1,2142,,,,,,,,,,,,,,,,,,
NAMUTUMBA,,121149,68491,59,-5,2936,,,,,,,,,,,,,,,,,,
OYAM,,184088,97463,56,-3,5411,,,,,,,,,,,,,,,,,,
MARACHA,,101182,48306,52,-4,4764,,,,,,,,,,,,,,,,,,
BUDUDA,,73039,45115,64,+12,1432,,,,,,,,,,,,,,,,,,
BUKEDEA,,99828,58576,62,-2,3148,,,,,,,,,,,,,,,,,,
LYANTONDE,,51076,32271,65,+3,798,,,,,,,,,,,,,,,,,,
AMUDAT,,43647,31207,72,+7,246,,,,,,,,,,,,,,,,,,
BUIKWE,,235640,125779,56,-16,5430,,,,,,,,,,,,,,,,,,
BUYENDE,,138849,80831,61,+5,4134,,,,,,,,,,,,,,,,,,
KYEGEGWA,,138528,81529,61,0,3040,,,,,,,,,,,,,,,,,,
LAMWO,,65223,33841,56,-5,2837,,,,,,,,,,,,,,,,,,
OTUKE,,48541,32078,70,+14,1941,,,,,,,,,,,,,,,,,,
ZOMBO,,123432,59906,52,-18,4685,,,,,,,,,,,,,,,,,,
ALEBTONG,,115804,65620,59,+7,3207,,,,,,,,,,,,,,,,,,
BULAMBULI,,71664,51021,73,+14,1539,,,,,,,,,,,,,,,,,,
BUVUMA,,42415,21057,52,-21,848,,,,,,,,,,,,,,,,,,
GOMBA,,81314,54080,68,+16,1564,,,,,,,,,,,,,,,,,,
KIRYANDONGO,,125685,55031,47,-21,4662,,,,,,,,,,,,,,,,,,
KYANKWANZI,,108311,65356,63,+16,2509,,,,,,,,,,,,,,,,,,
LUUKA,,116094,60933,55,-8,2450,,,,,,,,,,,,,,,,,,
NAMAYINGO,,107234,57882,57,+2,3110,,,,,,,,,,,,,,,,,,
NTOROKO,,38098,24526,66,+9,756,,,,,,,,,,,,,,,,,,
SERERE,,130290,75276,61,-5,3876,,,,,,,,,,,,,,,,,,
BUKOMANSIMBI,,76557,46384,62,+1,1207,,,,,,,,,,,,,,,,,,
BUTAMBALA,,55813,36587,68,+6,1135,,,,,,,,,,,,,,,,,,
KALUNGU,,88687,55390,64,-4,1387,,,,,,,,,,,,,,,,,,
SHEEMA,,129151,80328,64,0,2201,,,,,,,,,,,,,,,,,,
KIBUKU,,91971,59246,66,+2,1414,,,,,,,,,,,,,,,,,,
KOLE,,119437,66978,59,-7,3197,,,,,,,,,,,,,,,,,,
KWEEN,,47080,32684,72,+13,1038,,,,,,,,,,,,,,,,,,
LWENGO,,139772,85418,63,-9,2687,,,,,,,,,,,,,,,,,,
MITOOMA,,111839,66087,61,-2,1711,,,,,,,,,,,,,,,,,,
NAPAK,,56678,34543,66,+5,2829,,,,,,,,,,,,,,,,,,
NGORA,,72976,43174,62,-4,1769,,,,,,,,,,,,,,,,,,
BUHWEJU,,66649,47619,73,+11,1273,,,,,,,,,,,,,,,,,,
NWOYA,,57186,25140,47,-26,1552,,,,,,,,,,,,,,,,,,
AGAGO,,98354,63961,68,+21,2572,,,,,,,,,,,,,,,,,,
RUBIRIZI,,73848,48057,67,-1,1306,,,,,,,,,,,,,,,,,,
KAGADI,,175680,108614,65,-2,5037,,,,,,,,,,,,,,,,,,
KAKUMIRO,,140691,86100,64,-1,3347,,,,,,,,,,,,,,,,,,
OMORO,,72216,34445,51,-13,2557,,,,,,,,,,,,,,,,,,
RUBANDA,,111615,77167,71,+20,1889,,,,,,,,,,,,,,,,,,
BUNYANGABU,,92440,56257,63,-8,1636,,,,,,,,,,,,,,,,,,
BUTEBO,,51443,35823,71,+8,912,,,,,,,,,,,,,,,,,,
KYOTERA,,124872,75776,63,-8,2279,,,,,,,,,,,,,,,,,,
NAMISINDWA,,97191,55324,60,-3,3351,,,,,,,,,,,,,,,,,,
PAKWACH,,78801,48169,61,+1,0,,,,,,,,,,,,,,,,,,
RUKIGA,,60965,38212,65,+4,1583,,,,,,,,,,,,,,,,,,
BUGWERI,,84953,45046,55,-10,2018,,,,,,,,,,,,,,,,,,
KAPELEBYONG,,39629,25776,69,+14,1652,,,,,,,,,,,,,,,,,,
KASSANDA,,134798,83374,64,-5,3490,,,,,,,,,,,,,,,,,,
KIKUUBE,,112825,63840,59,-5,3246,,,,,,,,,,,,,,,,,,
KWANIA,,87587,53182,64,+5,2820,,,,,,,,,,,,,,,,,,
NABILATUK,,21367,16395,79,+15,536,,,,,,,,,,,,,,,,,,
KALAKI,,53973,34415,67,-12,1563,,,,,,,,,,,,,,,,,,
KARENGA,,18035,14157,82,+15,673,,,,,,,,,,,,,,,,,,
KAZO,,92843,74503,81,-1,1078,,,,,,,,,,,,,,,,,,
KITAGWENDA,,76037,46670,63,-18,1191,,,,,,,,,,,,,,,,,,
MADI,,63404,37084,62,-1,2414,,,,,,,,,,,,,,,,,,
OBONGI,,19321,11999,67,+5,884,,,,,,,,,,,,,,,,,,
RWAMPARA,,70346,41453,60,-7,747,,,,,,,,,,,,,,,,,,
ARUA,,170066,73323,46,-14,4645,,,,,,,,,,,,,,,,,,
GULU,,103401,32964,34,-12,1952,,,,,,,,,,,,,,,,,,
JINJA,,154750,68295,46,+12,2750,,,,,,,,,,,,,,,,,,
FORT,,65163,36352,58,+12,1424,,,,,,,,,,,,,,,,,,
MBARARA,,114511,53418,48,-10,1656,,,,,,,,,,,,,,,,,,
MASAKA,,122339,69248,58,+10,1543,,,,,,,,,,,,,,,,,,
MBALE,,147774,75369,53,-5,3128,,,,,,,,,,,,,,,,,,
TEREGO,,95118,48360,56,+3,4497,,,,,,,,,,,,,,,,,,
LIRA,,111772,52214,49,-7,2140,,,,,,,,,,,,,,,,,,
HOIMA,,62018,34609,58,+9,1450,,,,,,,,,,,,,,,,,,
SOROTI,,56019,30375,56,-2,1252,,,,,,,,,,,,,,,,,,
